0.13	1.42	3.02
0.13	1.42	2.94
0.16	4.15	3.16
0.18	5.97	3.14
0.19	6.88	3.24
0.23	10.50	4.01
0.28	15.10	4.25
0.33	20.20	4.78
0.38	25.70	4.75
0.43	31.10	4.38
0.48	36.10	4.30
0.53	41.00	4.33
0.58	45.80	4.16
0.63	50.50	4.01
0.68	55.00	4.12
0.73	59.60	4.15
0.78	64.10	4.14
0.83	68.70	4.24
0.88	73.20	3.93
0.93	77.40	3.86
0.98	80.40	3.68
1.03	83.20	3.69
1.08	86.00	3.68
1.13	88.70	3.62
1.18	91.40	3.83
1.23	94.00	3.51
1.28	96.30	3.64
1.33	98.50	3.64
1.38	101.00	3.72
1.43	103.00	3.45
1.48	105.00	3.43
1.53	107.00	3.47
1.58	109.00	3.58
1.63	112.00	3.96
1.68	115.00	3.64
1.73	117.00	3.13
1.78	120.00	3.05
1.83	122.00	2.77
1.88	125.00	2.72
1.93	127.00	3.42
1.98	130.00	3.12
2.03	134.00	4.80
2.08	140.00	4.78
2.13	146.00	4.53
2.18	152.00	4.59
2.23	158.00	4.54
2.28	164.00	4.57
2.33	170.00	4.45
2.38	176.00	4.44
2.43	182.00	4.24
2.48	188.00	4.14
2.53	193.00	4.04
2.58	198.00	3.67
2.63	202.00	3.72
2.68	205.00	3.32
2.73	208.00	3.16
2.78	211.00	3.13
2.83	214.00	3.47
2.88	217.00	3.29
2.93	220.00	3.81
2.98	224.00	4.08
3.03	227.00	3.98
3.08	231.00	4.22
3.13	235.00	3.80
3.18	238.00	3.20
3.23	242.00	3.71
3.28	246.00	4.37
3.33	251.00	4.16
3.38	255.00	4.28
3.43	260.00	4.50
3.48	264.00	4.15
3.53	269.00	4.40
3.58	273.00	4.20
3.63	277.00	3.93
3.68	279.00	3.97
3.73	282.00	3.69
3.78	285.00	3.52
3.83	288.00	3.64
3.88	291.00	3.80
3.93	295.00	4.17
3.98	299.00	3.88
4.03	302.00	3.98
4.08	306.00	3.82
4.13	309.00	3.68
4.18	312.00	3.57
4.23	315.00	3.39
4.28	317.00	3.70
4.33	320.00	3.73
4.38	323.00	3.39
4.43	325.00	3.11
4.48	327.00	3.11
4.53	330.00	4.06
4.58	332.00	4.20
4.63	334.00	3.27
4.68	337.00	3.89
4.73	339.00	4.41
4.78	342.00	4.61
4.83	347.00	4.56
4.88	351.00	4.49
4.93	356.00	4.37
4.98	361.00	4.33
5.03	365.00	4.43
5.08	369.00	4.12
5.13	373.00	4.32
5.18	376.00	4.36
5.23	380.00	4.29
